Samples C10 C25
10 -14282758.4 -13689119.1
20 -13210316.08 -12776298.29
30 -12699905.02 -12346718.13
40 -12426553.15 -12135706.38
50 -12233584.59 -11895981.69
60 -12160280.57 -11740597.58
70 -12086983.91 -11619881.06
80 -12023087.48 -11529775.62
90 -11985465.06 -11466665.79
100 -11962901.87 -11425971.54
110 -11932864.31 -11391824.7
120 -11927850.08 -11385243.8
130 -11888950.2 -11353123.79
140 -11887155.53 -11323030.37
150 -11865651.79 -11317107.27
160 -11864051.3 -11303436.51
170 -11859850.7 -11269290.93
180 -11858849.04 -11266028.58
190 -11853173.39 -11255877.79
200 -11846163.06 -11237349.09
210 -11825886.48 -11233842.13
220 -11804553.84 -11225028.99
230 -11799576.79 -11220091.61
240 -11791579.77 -11225438.65
250 -11786746.41 -11231112.53
260 -11781193.82 -11210248.76
270 -11773117.73 -11206966.06
280 -11757885.86 -11220618.44
290 -11766073.98 -11206860.17
300 -11766038.31 -11211057.65
310 -11757649.11 -11206050.69
320 -11756018.71 -11196007.14
330 -11753992.82 -11195939.54
340 -11736632.47 -11199761.04
350 -11740141.42 -11195031.08
360 -11732361.62 -11183529.92
370 -11742712.18 -11185824.05
380 -11753807.19 -11183609.24
390 -11740765.85 -11201645.67
400 -11726783.53 -11195937.93
410 -11705268.45 -11195167.73
420 -11704855.7 -11187544.63
430 -11700184.94 -11189057.78
440 -11695595.38 -11182929.8
450 -11706275.81 -11186811.86
460 -11682816.94 -11182764.06
470 -11699266.65 -11185773.92
480 -11690587.54 -11181398.01
490 -11688426.03 -11173447.95
500 -11695292.09 -11156059.74
510 -11689217.62 -11155512.87
520 -11698017.4 -11172791.37
530 -11694884.48 -11154632.37
540 -11688919.05 -11156732.99
550 -11691510.72 -11153659.02
560 -11695991.84 -11151936.29
570 -11698965.91 -11156390.06
580 -11703052.54 -11152442.33
590 -11703954.45 -11148163.01
600 -11707308.66 -11146911.39
610 -11711839.21 -11141578.69
620 -11705084.46 -11138108.53
630 -11702203.93 -11141497.85
640 -11699769.36 -11144830.31
650 -11695195.29 -11140054.57
660 -11689776.31 -11128736.68
670 -11686688.63 -11133363.86
680 -11687056.17 -11138606.88
690 -11683928.51 -11127176.69
700 -11675207.45 -11113181.82
710 -11678865.02 -11114991.57
720 -11663993.58 -11106009.03
730 -11653391.7 -11113577.46
740 -11643963.17 -11120842.56
750 -11657830.5 -11111176.56
760 -11640212.02 -11102195.83
770 -11627752.14 -11114706.83
780 -11654454 -11123697.97
790 -11649786.53 -11102903.62
800 -11650854.46 -11100390.17
810 -11648917.59 -11087037.97
820 -11647306.16 -11108470.8
830 -11646495.22 -11113765.15
840 -11635530.9 -11107715.08
850 -11632975.36 -11108388.03
860 -11640956.57 -11112060.45
870 -11629400.46 -11107145.34
880 -11622388.83 -11104625.45
890 -11637207.76 -11110117.67
900 -11617132.33 -11107941.25
910 -11632402.85 -11110187.52
920 -11639537.44 -11106565.25
930 -11634270.04 -11109103.8
940 -11632258.66 -11109555.93
950 -11621338.84 -11120469.76
960 -11625169.22 -11108971.32
970 -11629463.17 -11109270.37
980 -11622657.22 -11114332.59
990 -11619776.65 -11111593.24
1000 -11618193.28 -11107731.37
